radio,mcc,net,area,cell,lon,lat,created,updated
GSM,404,5,221,2171,70.38047791,20.91316223,1459669222,1459669222
GSM,404,5,2312,12805,70.12367249,21.12602234,1459669222,1459669222
GSM,404,69,441,40912,73.01994324,19.03999329,1459760674,1459760674
GSM,404,45,25033,53132,77.543466,12.903442,1459703141,1491232540
GSM,404,10,310,27942,77.236404,28.601303,1459746500,1460953046
GSM,404,42,52400,38596,79.679031,12.259859,1459746501,1485740249
GSM,404,58,6043,60092,83.377304,21.871719,1459746503,1474892887
GSM,404,86,32602,2221,75.004349,15.444031,1459746503,1459933131
GSM,404,93,1103,61337,83.37181091,21.87446594,1459723047,1459723047
GSM,404,43,1142,57292,78.124809,9.927177,1459761526,1481802373
GSM,404,57,1141,62141,72.59971619,23.02116394,1459744018,1459744018
GSM,404,75,112,12302,86.52900696,22.54188538,1459748759,1459748759
GSM,404,75,112,12252,86.8283844,22.29469299,1459748775,1459748775
GSM,404,27,10107,10742,73.78074646,18.5634613,1459658397,1459658397
GSM,404,90,7005,13149,73.87550354,18.44810486,1459660938,1459660938
GSM,404,24,17001,11563,72.55439758,23.05686951,1459658309,1459658309
GSM,404,27,211,6399,72.84690857,19.34898376,1459663799,1459663799
GSM,404,5,314,14318,70.94078064,22.62840271,1459692335,1465159794
GSM,404,24,25002,5943,72.82218933,21.21391296,1459682864,1459682864
GSM,404,45,25054,62641,77.643745,12.969635,1459703141,1491804568
GSM,404,4,528,1122,77.333176,28.602493,1459718721,1491029452
GSM,404,58,6041,63199,83.32923889,21.7275238,1459723058,1459723058
GSM,404,2,2051,32851,75.89424133,30.7775116,1459733424,1459733424
GSM,404,10,350,33011,77.0615387,28.44154358,1459740503,1459740503
GSM,404,46,20043,13283,76.495743,10.091629,1459768766,1492037152
GSM,404,43,1075,27113,77.31559753,9.821090698,1459741972,1459741972
GSM,404,86,31104,49833,77.66304016,12.98789978,1459786676,1460788854
GSM,404,75,400,13162,86.57020569,22.48832703,1459802107,1472884861
GSM,404,74,170,61103,87.23350525,22.32215881,1459748781,1459748781
GSM,404,45,25054,15111,77.660697,12.962857,1459812330,1488343993
GSM,404,58,1316,43399,78.941025,22.062058,1459812330,1473429574
GSM,404,69,441,40983,73.015549,19.011703,1459812330,1490825713
GSM,404,80,2345,45773,76.78962708,10.99388123,1459761818,1459761818
GSM,404,27,278,20357,73.733368,18.659729,1459814330,1490644442
GSM,404,27,10107,4552,73.78074646,18.5634613,1459658397,1459658397
GSM,404,5,2138,48412,70.501327,21.735078,1459692337,1476403754
GSM,404,5,212,12106,70.249999,21.112983,1459692334,1491960214
GSM,404,5,2138,48062,70.451202,21.739197,1459692337,1475894358
GSM,404,24,17002,13181,72.569962,23.045883,1459703140,1483101370
GSM,404,45,25054,50772,77.641068,12.970014,1459703141,1491908681
GSM,404,98,5218,25022,72.762108,21.184387,1459746505,1488226674
GSM,404,40,12025,27942,80.224045,13.153427,1459746501,1488173861
GSM,404,74,170,50783,87.31040955,22.36061096,1459748781,1459748781
GSM,404,74,170,50291,87.50679016,22.39631653,1459802100,1472681724
GSM,404,75,380,40003,86.40953064,22.65312195,1459748754,1459748754
GSM,404,45,25054,6423,77.658969,12.959257,1459812330,1492222800
GSM,404,69,441,41131,73.01994324,19.02626038,1459760685,1459760685
GSM,404,67,61421,62402,78.16841125,26.21131897,1459760388,1459760388
GSM,404,67,61421,32812,78.16841125,26.21269226,1459812330,1491386091
GSM,404,45,25101,17752,77.547455,13.000946,1459813822,1487383232
GSM,404,81,10,10211,88.40538,22.862778,1459814880,1491252178
GSM,404,58,2006,25318,80.73646545,22.44438171,1459663480,1459663480
GSM,404,7,111,11963,79.97703552,14.45457458,1459670344,1459670344
GSM,404,5,359,37021,70.75950623,22.30567932,1459669233,1459669233
GSM,404,5,359,37111,70.7636261,22.30430603,1459669233,1459669233
GSM,404,19,650,25673,76.433749,10.051215,1459692337,1470033477
GSM,404,24,25002,612,72.811661,21.224899,1459703140,1473166953
GSM,404,44,1400,40161,77.55043,12.884903,1459703141,1488341513
GSM,404,45,25042,13802,77.579269,12.926823,1459703141,1491454623
GSM,404,24,25002,491,72.82081604,21.22077942,1459682864,1459682864
GSM,404,24,25002,1132,72.82218933,21.21391296,1459682864,1459682864
GSM,404,20,33008,44231,72.806785,19.139156,1459688309,1549095370
GSM,404,15,10060,41663,82.99552917,25.28572083,1459689959,1459689959
GSM,404,42,18000,58806,78.076401,10.960464,1459713947,1483851480
GSM,404,45,25023,24873,77.52433777,12.93022156,1459715133,1491307613
GSM,404,98,5218,21086,72.647781,21.128082,1459746505,1459870255
GSM,404,7,802,45736,79.84931946,15.27854919,1459724412,1459724412
GSM,404,7,802,11903,79.84931946,15.27854919,1459724412,1459724412
GSM,404,40,715,17971,80.287125,13.104355,1459746501,1478684301
GSM,404,43,1155,39321,78.124074,9.913101,1459761528,1479800677
GSM,404,43,1142,33307,78.136826,9.936104,1459761523,1480424517
GSM,404,86,51016,29602,77.6410675,12.95219421,1459745052,1459745052
GSM,404,75,380,38081,86.3243866,22.79045105,1459748748,1459748748
